k	d	mass	p	kw_d
0	1	67316588476317360788535374930333663232	0.061361387364330723	2
0	2	304475928197561882413036333470698176512	0.27754028830230499	2
0	3	458591394366226205277428420967596556288	0.41802184021185834	2
0	4	266667367749076341557111941807950790656	0.24307648412150595	2
0	6	0	0	2
1	1	71998108305944144477576115876173709312	0.065628753822162839	4
1	2	284253076920623295982251996767657656320	0.25910646331350538	4
1	3	459303891379192234311570163719865368576	0.41867130576259578	4
1	4	247159118084818561680835832264307769344	0.22529404309852197	4
1	6	34337084098603553583877962548574683136	0.031299434003214032	4
2	1	71188342791859488118571517652626309120	0.064890624684773385	3
2	2	281579018537084122646156169827850387456	0.25666896705855316	3
2	3	461184432038024503588389519822875000832	0.42038548329940867	3
2	4	246502591744582886696828064628582907904	0.22469559674243159	3
2	6	36596893677630788986166799244644581376	0.033359328214833195	3
3	1	70980069147126672245204217428736737280	0.064700776089033459	4
3	2	282220491299748411755263702380425773056	0.25725369156055847	4
3	3	460658598457254230554992569180057763840	0.41990616789188220	4
3	4	246505313517630275421373563301596758016	0.22469807773224493	4
3	6	36686806367422200059278018885762154496	0.033441286726280944	4
4	1	70949934976969644295987751141165236224	0.064673307755747993	4
4	2	282355217054862517614228910738696568832	0.25737649872346776	4
4	3	460496805876036341773529894164138819584	0.41975868838536682	4
4	4	246515775143667488264612737031658799104	0.22470761386445633	4
4	6	36733545737645798087752778100919762944	0.033483891270961102	4
5	1	70962317915165368609096648805433999360	0.064684595230121471	2
5	2	282278327143934134709341814377106374656	0.25730641092318440	2
5	3	460579863233170210872595585810776981504	0.41983439802514368	2
5	4	246510022346471349328563621031411974144	0.22470236999180665	2
5	6	36720748150440726516514401151849857024	0.033472225829743808	2
6	1	70969135930029029801624240359584301056	0.064690810085338801	4
6	2	282243185597702782003729266898001461248	0.25727437819425842	4
6	3	460624588495377412303544323493502910464	0.41987516664104335	4
6	4	246503387483055254748481835629195296768	0.22469632208543766	4
6	6	36710981283017311178732404796295217152	0.033463322993921772	4
7	1	70966292178840781594539612055699193856	0.064688217908251703	2
7	2	282259745599299060277743905412004970496	0.25728947320569175	2
7	3	460604982259402026971378915405746667520	0.41985729488212519	2
7	4	246506576190992865128899593973769699328	0.22469922870247486	2
7	6	36713682560647056063550044329358655488	0.033465785301456499	2
8	1	70963493547191667682029664504148656128	0.064685666859177495	3
8	2	282273932150009875873982647534375403520	0.25730240473495123	3
8	3	460586151793858370900306873451496341504	0.41984013026465677	3
8	4	246510721652084935185656201012802748416	0.22470300743294281	3
8	6	36716979646036940394136684673756037120	0.033468790708271688	3
9	1	70964592183785076342397262798851670016	0.064686668304246336	3
9	2	282268296862891693723660644109529382912	0.25729726797678219	3
9	3	460593394305988354817787422000516431872	0.41984673206374311	3
9	4	246508921831756156613805385934966882304	0.22470136683476516	3
9	6	36716073604760508538461356332714819584	0.033467964820463206	3
10	1	70966428393434047582046621544354938880	0.064688342072541832	2
10	2	282259509734275366098858878258928156672	0.25728925820660442	2
10	3	460605776156284043313860428079252373504	0.41985801854645826	2
